curva,valore,ripetizione,secondi,errore,partizioni,file,worker,thread
pandas,1,0,14.28,,1,192,1,1
partizioni,1,0,17.74,,1,192,4,8
partizioni,2,0,14.24,,2,192,4,8
partizioni,4,0,7.03,,4,192,4,8
partizioni,8,0,6.82,,8,192,4,8
partizioni,16,0,6.05,,16,192,4,8
partizioni,32,0,10.28,,32,192,4,8
partizioni,64,0,13.06,,64,192,4,8
partizioni,128,0,28.28,,128,192,4,8
partizioni,192,0,42.89,,192,192,4,8
worker,3,0,52.92,,192,192,3,6
worker,2,0,65.53,,192,192,2,4
worker,1,0,101.18,,192,192,1,2
pandas,1,1,14.13,,1,192,1,1
partizioni,1,1,13.57,,1,192,4,8
partizioni,2,1,11.51,,2,192,4,8
partizioni,4,1,8.76,,4,192,4,8
partizioni,8,1,6.52,,8,192,4,8
partizioni,16,1,6.36,,16,192,4,8
partizioni,32,1,9.65,,32,192,4,8
partizioni,64,1,12.52,,64,192,4,8
partizioni,128,1,26.25,,128,192,4,8
partizioni,192,1,39.92,,192,192,4,8
worker,3,1,51.55,,192,192,3,6
worker,2,1,63.38,,192,192,2,4
worker,1,1,103.76,,192,192,1,2
pandas,1,2,14.07,,1,192,1,1
partizioni,1,2,13.76,,1,192,4,8
partizioni,2,2,10.89,,2,192,4,8
partizioni,4,2,7.79,,4,192,4,8
partizioni,8,2,6.92,,8,192,4,8
partizioni,16,2,6.45,,16,192,4,8
partizioni,32,2,10.93,,32,192,4,8
partizioni,64,2,14.46,,64,192,4,8
partizioni,128,2,27.77,,128,192,4,8
partizioni,192,2,41.75,,192,192,4,8
worker,3,2,51.73,,192,192,3,6
worker,2,2,65.85,,192,192,2,4
worker,1,2,103.18,,192,192,1,2
pandas,1,0,13.99,,1,192,1,1
partizioni,1,0,17.01,,1,192,4,8
partizioni,2,0,14.33,,2,192,4,8
partizioni,4,0,6.95,,4,192,4,8
partizioni,8,0,5.87,,8,192,4,8
partizioni,16,0,7.14,,16,192,4,8
partizioni,32,0,9.82,,32,192,4,8
partizioni,64,0,12.54,,64,192,4,8
partizioni,128,0,27.56,,128,192,4,8
partizioni,192,0,42.23,,192,192,4,8
worker,3,0,48.39,,192,192,3,6
worker,2,0,63.43,,192,192,2,4
worker,1,0,104.89,,192,192,1,2
pandas,1,1,13.97,,1,192,1,1
partizioni,1,1,17.39,,1,192,4,8
partizioni,2,1,12.17,,2,192,4,8
partizioni,4,1,7.88,,4,192,4,8
partizioni,8,1,5.66,,8,192,4,8
partizioni,16,1,7.51,,16,192,4,8
partizioni,32,1,9.88,,32,192,4,8
partizioni,64,1,13.09,,64,192,4,8
partizioni,128,1,26.02,,128,192,4,8
partizioni,192,1,39.5,,192,192,4,8
worker,3,1,49.47,,192,192,3,6
worker,2,1,64.93,,192,192,2,4
worker,1,1,103.19,,192,192,1,2
pandas,1,2,13.85,,1,192,1,1
partizioni,1,2,13.91,,1,192,4,8
partizioni,2,2,11.64,,2,192,4,8
partizioni,4,2,7.35,,4,192,4,8
partizioni,8,2,8.81,,8,192,4,8
partizioni,16,2,6.53,,16,192,4,8
partizioni,32,2,10.19,,32,192,4,8
partizioni,64,2,13.27,,64,192,4,8
partizioni,128,2,27.05,,128,192,4,8
