curva,valore,ripetizione,secondi,errore,partizioni,split_out,file,worker,thread,picco_gb,picco_medio_gb
riferimento,16,0,108.8,,256,16,1979,5,5,1.3,1.19
partizioni,512,0,116.4,,512,16,1979,5,5,1.29,0.96
partizioni,128,0,,"KilledWorker: Attempted to run task ('document_counts-from-bag-to_dataframe-chunk-reset_index-operation-d5bed483726750eda68e0516f0d9ad45', 9) on 4 different workers, but all those workers died while r",128,16,1979,5,5,,
partizioni,1024,0,113.7,,1024,16,1979,5,5,1.05,0.87
partizioni,64,0,,"KilledWorker: Attempted to run task ('document_counts-from-bag-to_dataframe-chunk-reset_index-operation-febac5231844102cc8e98f10acd91479', 25) on 4 different workers, but all those workers died while ",64,16,1979,5,5,,
partizioni,1979,0,121.1,,1979,16,1979,5,5,1.05,0.84
partizioni,32,0,,"KilledWorker: Attempted to run task ('document_counts-from-bag-to_dataframe-chunk-reset_index-operation-c3ef68764d23ab3c685c1e5823d88430', 3) on 4 different workers, but all those workers died while r",32,16,1979,5,5,,
partizioni,16,0,,"KilledWorker: Attempted to run task ('document_counts-from-bag-to_dataframe-chunk-reset_index-operation-3c066f57b769e4757a32f16d2d18b40d', 14) on 4 different workers, but all those workers died while ",16,16,1979,5,5,,
partizioni,8,0,,"KilledWorker: Attempted to run task ('document_counts-from-bag-to_dataframe-chunk-reset_index-operation-fc19da77efe0f958c5c13f044be72c6a', 6) on 4 different workers, but all those workers died while r",8,16,1979,5,5,,
partizioni,4,0,,"KilledWorker: Attempted to run task ('document_counts-from-bag-to_dataframe-chunk-reset_index-operation-8b9417da7f2a9a4911759d79936e8a2e', 0) on 4 different workers, but all those workers died while r",4,16,1979,5,5,,
