campaign,point,repetition,worker,thread,slot,per_machine,k,blocksize,split_out,broadcast,seconds,peak_gb,mean_peak_gb,partitions,vocabulary,real_workers,real_threads,error
scaling,w3_k64,0,3,1,3,1,64,64MB,8,True,71.0,2.3,1.89,64,161901,3,3,
scaling,w3_k64,1,3,1,3,1,64,64MB,8,True,72.0,2.53,1.87,64,161901,3,3,
scaling,w3_k64,2,3,1,3,1,64,64MB,8,True,70.0,2.52,1.83,64,161901,3,3,
scaling,w1_k8,0,1,1,1,1,8,64MB,8,True,,,,,,1,1,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-45062d3ada0c9a8aa50ad03cacee2530', 0)]"
scaling,w1_k16,0,1,1,1,1,16,64MB,8,True,,,,,,1,1,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-b6161429e88118ad1090206fcf7bd903', 0)]"
scaling,w1_k32,0,1,1,1,1,32,64MB,8,True,157.4,2.93,2.93,32,161901,1,1,
scaling,w1_k64,0,1,1,1,1,64,64MB,8,True,164.4,2.98,2.98,64,161901,1,1,
scaling,w1_k128,0,1,1,1,1,128,64MB,8,True,230.3,2.62,2.62,128,161901,1,1,
scaling,w1_k256,0,1,1,1,1,256,64MB,8,True,448.1,2.53,2.53,256,161901,1,1,
scaling,w2_k8,0,2,1,2,1,8,64MB,8,True,,,,,,2,2,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-85face14016237337cf274e02c735a16', 0)]"
scaling,w2_k16,0,2,1,2,1,16,64MB,8,True,139.9,3.19,3.18,16,161901,2,2,
scaling,w2_k32,0,2,1,2,1,32,64MB,8,True,87.6,2.52,2.34,32,161901,2,2,
scaling,w2_k64,0,2,1,2,1,64,64MB,8,True,92.6,2.35,2.33,64,161901,2,2,
scaling,w2_k128,0,2,1,2,1,128,64MB,8,True,108.7,2.31,2.02,128,161901,2,2,
scaling,w2_k256,0,2,1,2,1,256,64MB,8,True,149.8,2.26,1.99,256,161901,2,2,
scaling,w3_k8,0,3,1,3,1,8,64MB,8,True,,,,,,3,3,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-d3ff93e2aba839b7abebc54e24fe9920', 0)]"
scaling,w3_k16,0,3,1,3,1,16,64MB,8,True,116.0,3.05,2.93,16,161901,3,3,
scaling,w3_k32,0,3,1,3,1,32,64MB,8,True,72.6,2.29,2.16,32,161901,3,3,
scaling,w3_k64,0,3,1,3,1,64,64MB,8,True,79.0,2.44,1.86,64,161901,3,3,
scaling,w3_k128,0,3,1,3,1,128,64MB,8,True,87.1,1.71,1.58,128,161901,3,3,
scaling,w3_k256,0,3,1,3,1,256,64MB,8,True,122.4,1.69,1.53,256,161901,3,3,
scaling,w6_k8,0,6,1,6,2,8,64MB,8,True,,,,,,6,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-8dc80f53eb78d63ee80dafc603236708', 0)]"
scaling,w6_k16,0,6,1,6,2,16,64MB,8,True,,,,,,6,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-3e0d306bae3d38f1733d770489016c6d', 0)]"
scaling,w6_k32,0,6,1,6,2,32,64MB,8,True,,,,,,6,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-e2ebcee2ddd622ff8d27c11208a919aa', 0)]"
scaling,w6_k64,0,6,1,6,2,64,64MB,8,True,50.9,1.64,1.45,64,161901,6,6,
scaling,w6_k128,0,6,1,6,2,128,64MB,8,True,49.4,1.26,1.13,128,161901,6,6,
scaling,w6_k256,0,6,1,6,2,256,64MB,8,True,69.5,1.22,1.14,256,161901,6,6,
thread,w3_t1,0,3,1,3,1,64,64MB,8,True,69.9,2.43,1.84,64,161901,3,3,
thread,w3_t2,0,3,2,6,1,64,64MB,8,True,51.5,2.65,2.3,64,161901,3,6,
thread,w3_t4,0,3,4,12,1,64,64MB,8,True,131.9,3.23,3.02,64,161901,3,12,
slot,w6_t1,0,6,1,6,2,64,64MB,8,True,63.6,1.62,1.46,64,161901,6,6,
slot,w1_t6,0,1,6,6,1,64,64MB,8,True,,,,,,1,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-eb5166d0cd230c8314140d0d26e5e25d', 0)]"
slot,w2_t1,0,2,1,2,1,64,64MB,8,True,95.0,2.69,2.03,64,161901,2,2,
slot,w1_t2,0,1,2,2,1,64,64MB,8,True,112.5,3.07,3.07,64,161901,1,2,
k_thread4,k64_t4,0,3,4,12,1,64,64MB,8,True,153.1,3.18,2.88,64,161901,3,12,
k_thread4,k128_t4,0,3,4,12,1,128,64MB,8,True,56.8,2.45,2.15,128,161901,3,12,
k_thread4,k32_t4,0,3,4,12,1,32,64MB,8,True,,,,,,3,12,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-34a5bb7af75fffa6997ad7a14f4997d5', 0)]"
k_thread4,k256_t4,0,3,4,12,1,256,64MB,8,True,83.4,2.19,1.92,256,161901,3,12,
k_thread4,k16_t4,0,3,4,12,1,16,64MB,8,True,,,,,,3,12,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-3b808f1fc8912f3b3cf1c92d21bdcc4a', 0)]"
thread,w3_t1,1,3,1,3,1,64,64MB,8,True,69.0,2.23,1.89,64,161901,3,3,
thread,w3_t2,1,3,2,6,1,64,64MB,8,True,49.0,2.54,2.12,64,161901,3,6,
thread,w3_t4,1,3,4,12,1,64,64MB,8,True,111.0,3.03,2.97,64,161901,3,12,
slot,w6_t1,1,6,1,6,2,64,64MB,8,True,50.4,1.54,1.42,64,161901,6,6,
slot,w1_t6,1,1,6,6,1,64,64MB,8,True,,,,,,1,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-4fb7a21712ae213719533177b8a91842', 0)]"
slot,w2_t1,1,2,1,2,1,64,64MB,8,True,93.7,2.65,2.34,64,161901,2,2,
slot,w1_t2,1,1,2,2,1,64,64MB,8,True,120.8,2.91,2.91,64,161901,1,2,
k_thread4,k64_t4,1,3,4,12,1,64,64MB,8,True,134.7,3.05,2.99,64,161901,3,12,
k_thread4,k128_t4,1,3,4,12,1,128,64MB,8,True,60.6,2.38,2.2,128,161901,3,12,
k_thread4,k32_t4,1,3,4,12,1,32,64MB,8,True,,,,,,3,12,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-5d24cdb810b81f7ebac45dd153582d52', 0)]"
k_thread4,k256_t4,1,3,4,12,1,256,64MB,8,True,86.0,2.05,1.95,256,161901,3,12,
k_thread4,k16_t4,1,3,4,12,1,16,64MB,8,True,,,,,,3,12,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-704ed4d2a879e39bc317331c8f51209c', 0)]"
thread,w3_t1,2,3,1,3,1,64,64MB,8,True,68.7,2.16,1.85,64,161901,3,3,
thread,w3_t2,2,3,2,6,1,64,64MB,8,True,51.8,2.53,2.13,64,161901,3,6,
thread,w3_t4,2,3,4,12,1,64,64MB,8,True,180.7,3.21,2.64,64,161901,3,12,
slot,w6_t1,2,6,1,6,2,64,64MB,8,True,67.9,1.59,1.45,64,161901,6,6,
slot,w1_t6,2,1,6,6,1,64,64MB,8,True,,,,,,1,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-337a10f24701ceb277d7ad5725842def', 0)]"
slot,w2_t1,2,2,1,2,1,64,64MB,8,True,101.8,2.51,1.99,64,161901,2,2,
