curva,valore,ripetizione,secondi,errore,titoli,partizioni,worker,thread
numpy,1,0,105.33,,100000,16,1,1
partizioni,16,0,24.07,,100000,16,4,16
partizioni,32,0,22.56,,100000,32,4,16
partizioni,64,0,24.57,,100000,64,4,16
partizioni,128,0,38.22,,100000,128,4,16
partizioni,8,0,,"KilledWorker: Attempted to run task 'top_block-eddf1a86-1fe3-46bf-b47f-6c5d6e680294' on 4 different workers, but all those workers died while running it. The last worker that attempt to run the task w",100000,8,4,16
partizioni,4,0,,FutureCancelledError: merge-5b4eced8-f73a-4c4b-b9fb-144ede598667 cancelled for reason: already forgotten.,100000,4,3,12
numpy,1,0,103.3,,100000,32,1,1
partizioni,16,0,21.33,,100000,16,4,16
partizioni,32,0,21.24,,100000,32,4,16
partizioni,64,0,23.4,,100000,64,4,16
partizioni,128,0,38.75,,100000,128,4,16
worker,4,0,17.24,,100000,32,4,16
worker,3,0,26.67,,100000,32,3,12
worker,2,0,40.7,,100000,32,2,8
worker,1,0,70.88,,100000,32,1,4
thread,1,0,49.34,,100000,32,4,4
thread,2,0,29.36,,100000,32,4,8
thread,4,0,21.47,,100000,32,4,16
numpy,1,1,103.66,,100000,32,1,1
partizioni,16,1,22.87,,100000,16,4,16
partizioni,32,1,21.49,,100000,32,4,16
partizioni,64,1,23.14,,100000,64,4,16
partizioni,128,1,38.14,,100000,128,4,16
worker,4,1,17.47,,100000,32,4,16
worker,3,1,27.06,,100000,32,3,12
worker,2,1,39.42,,100000,32,2,8
worker,1,1,81.72,,100000,32,1,4
thread,1,1,49.18,,100000,32,4,4
thread,2,1,30.08,,100000,32,4,8
thread,4,1,20.66,,100000,32,4,16
numpy,1,2,102.11,,100000,32,1,1
partizioni,16,2,21.28,,100000,16,4,16
partizioni,32,2,20.53,,100000,32,4,16
partizioni,64,2,23.83,,100000,64,4,16
partizioni,128,2,36.96,,100000,128,4,16
worker,4,2,16.78,,100000,32,4,16
worker,3,2,26.7,,100000,32,3,12
worker,2,2,41.9,,100000,32,2,8
worker,1,2,73.66,,100000,32,1,4
thread,1,2,49.3,,100000,32,4,4
thread,2,2,29.49,,100000,32,4,8
thread,4,2,20.89,,100000,32,4,16
numpy,1,3,103.2,,100000,32,1,1
partizioni,16,3,21.16,,100000,16,4,16
partizioni,32,3,20.39,,100000,32,4,16
partizioni,64,3,23.03,,100000,64,4,16
partizioni,128,3,38.16,,100000,128,4,16
worker,4,3,18.53,,100000,32,4,16
worker,3,3,26.9,,100000,32,3,12
worker,2,3,41.43,,100000,32,2,8
worker,1,3,71.82,,100000,32,1,4
thread,1,3,50.15,,100000,32,4,4
thread,2,3,30.1,,100000,32,4,8
thread,4,3,21.77,,100000,32,4,16
numpy,1,4,101.86,,100000,32,1,1
partizioni,16,4,22.35,,100000,16,4,16
partizioni,32,4,20.97,,100000,32,4,16
partizioni,64,4,23.89,,100000,64,4,16
partizioni,128,4,37.99,,100000,128,4,16
worker,4,4,16.6,,100000,32,4,16
worker,3,4,27.45,,100000,32,3,12
worker,2,4,41.7,,100000,32,2,8
worker,1,4,75.81,,100000,32,1,4
thread,1,4,48.8,,100000,32,4,4
thread,2,4,29.58,,100000,32,4,8
thread,4,4,21.57,,100000,32,4,16
numpy,1,5,102.44,,100000,32,1,1
partizioni,16,5,21.22,,100000,16,4,16
partizioni,32,5,21.27,,100000,32,4,16
partizioni,64,5,23.0,,100000,64,4,16
partizioni,128,5,38.93,,100000,128,4,16
worker,4,5,17.82,,100000,32,4,16
worker,3,5,26.49,,100000,32,3,12
worker,2,5,40.17,,100000,32,2,8
worker,1,5,87.18,,100000,32,1,4
thread,1,5,49.38,,100000,32,4,4
thread,2,5,29.39,,100000,32,4,8
thread,4,5,20.6,,100000,32,4,16
numpy,1,0,101.8,,100000,32,1,1
worker,8,0,25.85,,100000,32,8,8
numpy,1,1,102.34,,100000,32,1,1
worker,8,1,25.69,,100000,32,8,8
numpy,1,2,102.23,,100000,32,1,1
worker,8,2,26.0,,100000,32,8,8
