cord_uid_a,cord_uid_b,similarity,title_a,title_b
zpeh6xy5,yl5yjiya,1.0,"""COVID-19 and the epistemology of epidemiological models at the dawn of AI"": comment from the editors.","""COVID-19 and the epistemology of epidemiological models at the dawn of AI"": comment from the editors"
x1ei2joq,xibmt738,1.0,Delaying COP26 is not a reason to delay climate action.,Delaying COP26 is not a reason to delay climate action
a6h302em,p56dfl2f,1.0,British Society for Cutaneous Allergy advice on skin damage from FFP3 masks,British Society for Cutaneous Allergy advice on skin damage from FFP3 masks.
k7q3ja2t,0xhbudkz,1.0,Learning and Leading: The Impact of COVID‐19 in Perioperative Areas,Learning and Leading: The Impact of COVID-19 in Perioperative Areas
ds8pbnba,pjjxf5rp,1.0,Patients as partners in readiness for COVID-19: using ‘live simulation’ to implement infection prevention and control procedures in the maternity operating theatre,Patients as partners in readiness for COVID-19: using 'live simulation' to implement infection prevention and control procedures in the maternity operating theatre.
kiyrngwc,zpqqk4mc,1.0,Investigation of shielding properties of impregnated activated carbon for gamma-rays.,Investigation of shielding properties of impregnated activated carbon for gamma-rays
4h3viqul,xxupxrlo,1.0,American College of Rheumatology Guidance for COVID‐19 Vaccination in Patients With Rheumatic and Musculoskeletal Diseases: Version 1,American College of Rheumatology Guidance for COVID‐19 Vaccination in Patients With Rheumatic and Musculoskeletal Diseases: Version 4
0uvo27vg,m50c6jz1,1.0,Moving to the Top of the Pyramid (Again!).,Moving to the Top of the Pyramid (Again!)
wm2c2kbp,z3kwt565,1.0,Antizyme inhibitor 2 (AZIN2) associates with better prognosis of head and neck minor salivary gland adenoid cystic carcinoma.,Antizyme inhibitor 2 (AZIN2) associates with better prognosis of head and neck minor salivary gland adenoid cystic carcinoma
uajiou4s,cql5m00f,1.0,Shaping the Future of Science: COVID‐19 Highlighting the Importance of GeoHealth,Shaping the future of science: COVID-19 highlighting the importance of GeoHealth
bteecgh1,nl4xmmb0,1.0,Recruitment process that attracts underrepresented students in graduate science and medical education programs,Recruitment process that attracts underrepresented students in graduate science and medical education programs.
88gb52j8,a4ulg4ck,1.0,Is the mental health of young students and their family members affected during the quarantine period? Evidence from the COVID-19 pandemic in Albania,Is the mental health of young students and their family members affected during the quarantine period? Evidence from the COVID‐19 pandemic in Albania.
ylp21xtt,8p5mpug0,1.0,Nonsurgical cosmetic practice and COVID-19,Nonsurgical cosmetic practice and COVID‐19
ruzca98d,e4h70ru3,1.0,Vietnam’s Shifting Response to the Covid-19 Challenge,Vietnam's Shifting Response to the Covid-19 Challenge
ol04jmts,3i5mrqg3,1.0,info Hansen: A new online resource for Hansen’s disease,info Hansen: A new online resource for Hansen's disease
xbhdwkks,w009dk4i,1.0,"Clostridioides difficile in COVID-19 Patients, Detroit, Michigan, USA, March-April 2020","Clostridiodes difficile in COVID-19 Patients, Detroit, Michigan, USA, March–April 2020"
f9vf5kjs,erdity4m,1.0,Cryo-electron microscopy structure of the SADS-CoV spike glycoprotein provides insights into an evolution of unique coronavirus spike proteins.,Cryo-electron microscopy structure of the SADS-CoV spike glycoprotein provides insights into an evolution of unique coronavirus spike proteins
1c1aas4u,kzqbid8l,1.0,"[Coagulopathies, thrombotic risk and anticoagulation in COVID-19]","Coagulopathies, thrombotic risk and anticoagulation in COVID-19"
n4bakdhr,5j0zmnec,1.0,Impact of COVID-19 on percutaneous coronary intervention for ST-elevation myocardial infarction,Impact of COVID-19 on percutaneous coronary intervention for ST-elevation myocardial infarction.
75glxzo8,rjacoifo,1.0,"Doctor of pharmacy student preferences for computer-based vs. paper-and-pencil testing in a, social and administrative pharmacy course","Doctor of pharmacy student preferences for computer-based vs. paper-and-pencil testing in a, social and administrative pharmacy course."
e57g6mhl,hj2w58w5,1.0,Risk of COVID-19 Infection Among Chronic Rhinosinusitis Patients Receiving Oral Corticosteroids.,Risk of COVID-19 Infection Among Chronic Rhinosinusitis Patients Receiving Oral Corticosteroids
xf99ax17,4efq81l0,1.0,Exploring predictors of Australian community members' blood donation intentions and blood donation-related behavior during the COVID-19 pandemic,Exploring predictors of Australian community members' blood donation intentions and blood donation-related behavior during the COVID-19 pandemic.
lt4dvm1u,vvbhndkf,1.0,"While We Endure This Pandemic, What New Respiratory Virus Threats Are We Missing?",While We Endure this Pandemic What New Respiratory Virus Threats Are We Missing?
edxgtshh,0do50pw7,1.0,Aerospace Implications of Key Neurological Conditions,Aerospace Implications of Key Neurological Conditions.
7jtljj1t,9xurd2ke,1.0,Heroes or cowards: healthcare workers' autonomy right versus patient care duties during the COVID-19 pandemic,Heroes or cowards: healthcare workers’ autonomy right versus patient care duties during the COVID-19 pandemic
k2s3nngh,t1gxo4mw,1.0,Innate immunity in coronavirus infection/ ВРОЖДЕННЫЙ ИММУНИТЕТ ПРИ КОРОНАВИРУСНОЙ ИНФЕКЦИИ,Innate Immunity in Coronavirus Infection ;врожденный Иммунитет При Коронавирусной Инфекции
h3ig9jgb,6mq5xvch,1.0,Barrier enclosure systems and COVID-19: sealing and suction might not be enough.,Barrier enclosure systems and COVID-19: sealing and suction might not be enough
fxi7j1g4,ex9hxm4q,1.0,"Covid-19: FDA plans strict vaccine approval criteria, angering Trump","Covid-19: FDA plans strict vaccine approval criteria, angering Trump."
95go4pmh,yyf4d3or,1.0,Advance care planning in Australia during the COVID‐19 outbreak: now more important than ever,Advance care planning in Australia during the COVID-19 outbreak: now more important than ever
4h3viqul,ndib1ij6,1.0,American College of Rheumatology Guidance for COVID‐19 Vaccination in Patients With Rheumatic and Musculoskeletal Diseases: Version 1,American College of Rheumatology Guidance for COVID‐19 Vaccination in Patients With Rheumatic and Musculoskeletal Diseases: Version 3
s5d2rla9,59ya7lyu,1.0,"Covid-19: Prevalence has quadrupled in England since start of September, study shows.","Covid-19: Prevalence has quadrupled in England since start of September, study shows"
xjptpj0b,yrbyvhw6,1.0,Computational determination of toxicity risks associated with a selection of approved drugs having demonstrated activity against COVID-19,Computational Determination of Toxicity Risks Associated with a Selection of Approved Drugs having Demonstrated Activity Against COVID- 19
pqbjzfkk,vptn96yi,1.0,[Panic and pandemic: Review of the literature on the links between panic disorder and the SARS-CoV-2 epidemic]./ Panique et pandémie : revue de la littérature sur les liens entre le trouble panique et l'épidémie à SARS-CoV-2,Panique et pandémie : revue de la littérature sur les liens entre le trouble panique et l'épidémie à SARS-CoV-2./ [Panic and pandemic: Review of the literature on the links between panic disorder and the SARS-CoV-2 epidemic]
akfrkr4m,o0bbl5gs,1.0,Author index to volume 14,Author index to volume 288
akfrkr4m,yx29yr2l,1.0,Author index to volume 14,Author index (Volume 13)
65ffi3oy,0mt9em36,1.0,A Non-interventional Study of Obinutuzumab in Patients with Previously Untreated Advanced Follicular Lymphoma (urban): Impact of Covid-19 Pandemic on Enrollment and Safety,A NON‐INTERVENTIONAL STUDY OF OBINUTUZUMAB IN PATIENTS WITH PREVIOUSLY UNTREATED ADVANCED FOLLICULAR LYMPHOMA (URBAN): IMPACT OF COVID‐19 PANDEMIC ON ENROLLMENT AND SAFETY
h1qzxo0z,zbgxj8c4,1.0,Rurality and atrial fibrillation: a pathway to virtual engagement and clinical trial recruitment in response to COVID-19.,Rurality and atrial fibrillation: A pathway to virtual engagement and clinical trial recruitment in response to COVID-19
iyy782i3,qewnetg2,1.0,Effectiveness of a one day self-compassion training for pediatric nurses' resilience.,Effectiveness of a one day self-compassion training for pediatric nurses' resilience
cmrd3yn1,h9ndtiw0,1.0,"Zonisamide, an antiepileptic drug, alleviates diabetic cardiomyopathy by inhibiting endoplasmic reticulum stress","Zonisamide, an antiepileptic drug, alleviates diabetic cardiomyopathy by inhibiting endoplasmic reticulum stress."
2p0l91ux,vl9vj4db,1.0,Narrative Approach to Goals of Care Discussions: Adapting the 3-Act Model Training to an Online Format.,Narrative Approach to Goals of Care Discussions: Adapting the 3-Act Model Training to an Online Format
x16m9sm2,3dgk4i59,1.0,[Training in reconstructive surgery in sub-Saharan Africa : the << 2nd Chance >> model],Training in reconstructive surgery in sub-Saharan Africa: The «2nd Chance» model
ehvbkxue,sh0yj58k,1.0,Psychological distress in North America during COVID-19: The role of pandemic-related stressors.,Psychological distress in North America during COVID-19: The role of pandemic-related stressors
3lv6uk4l,zuchgyju,1.0,"Perceived Stress, Stigma, Traumatic Stress Levels and Coping Responses amongst Residents in Training across Multiple Specialties during COVID-19 Pandemic—A Longitudinal Study","Perceived Stress, Stigma, Traumatic Stress Levels and Coping Responses amongst Residents in Training across Multiple Specialties during COVID-19 Pandemic-A Longitudinal Study"
qfm4tj4i,n0nsajwi,1.0,Nurse navigators' telemonitoring for cancer patients with COVID-19: a French case study,Nurse navigators’ telemonitoring for cancer patients with COVID-19: a French case study
exsj2ywj,ypgatlu3,1.0,Synoviolin is not a pathogenic factor for auto-inflammatory diseases,Synoviolin is not a pathogenic factor for auto-inflammatory diseases.
gcqt6jmy,uu6ardcr,1.0,Prognostic value of novel immune-related genomic biomarkers identified in head and neck squamous cell carcinoma.,Prognostic value of novel immune-related genomic biomarkers identified in head and neck squamous cell carcinoma
bnzypm2d,9mch0lyh,1.0,NewsCAP: Muscle relaxant use doubles in the United States.,NewsCAP: Muscle relaxant use doubles in the United States
txko8ssm,s6f5afdd,1.0,"COVID-19 and dementia: Analyses of risk, disparity, and outcomes from electronic health records in the US","COVID‐19 and dementia: Analyses of risk, disparity, and outcomes from electronic health records in the US"
pzeswvki,52yv8609,1.0,Current and Prospective Targets of Pharmacologic Treatment of Hereditary Angioedema Types 1 and 2.,Current and Prospective Targets of Pharmacologic Treatment of Hereditary Angioedema Types 1 and 2
uy814okt,ux2rt5tp,1.0,Collateral damage of a global pandemic: implications of COVID‐19 for Australians with cardiovascular disease,Collateral damage of a global pandemic: implications of COVID-19 for Australians with cardiovascular disease
1szvow60,k49ykdx2,1.0,Are We Missing Something in the Management of Acute Coronary Syndromes in COVID-19–Negative Patients?,Are We Missing Something in the Management of Acute Coronary Syndromes in COVID-19-Negative Patients?
a3fdwtq9,7itvlkyo,1.0,ProtTrans: Towards Cracking the Language of Life’s Code Through Self-Supervised Deep Learning and High Performance Computing,ProtTrans: Towards Cracking the Language of Life's Code Through Self-Supervised Deep Learning and High Performance Computing
a17qjeoa,t3kcnec2,1.0,"Independent Impact of Diabetes on the Severity of Coronavirus Disease 2019 in 5,307 Patients in South Korea: A Nationwide Cohort Study (Diabetes Metab J 2020;44:737-46)","Independent Impact of Diabetes on the Severity of Coronavirus Disease 2019 in 5,307 Patients in South Korea: A Nationwide-Cohort Study (Diabetes Metab J 2020;44:737–46)"
ru6yepyu,7pvigsy0,1.0,Ethical decision-making for children with neuromuscular disorders in the COVID-19 crisis.,Ethical decision-making for children with neuromuscular disorders in the COVID-19 crisis
sdnt55b4,chfwk5t8,1.0,Resurrection of Ancestral Malate Dehydrogenases Reveals the Evolutionary History of Halobacterial Proteins : Deciphering Gene Trajectories and Changes in Biochemical Properties,Resurrection of Ancestral Malate Dehydrogenases Reveals the Evolutionary History of Halobacterial Proteins : Deciphering Gene Trajectories and Changes in Biochemical Properties.
hwr98n3p,nq2fa8xu,1.0,"Effects of CYP2D6, CYP3A5, and ABCB1 gene polymorphisms on the pharmacokinetics of two risperidone long-acting injection microsphere formulations","Effects of CYP2D6, CYP3A5, and ABCB1 gene polymorphisms on the pharmacokinetics of two risperidone long-acting injection microsphere formulations."
vf5a843i,usyydefd,1.0,Identifying Core Outcome Sets in COVID-19 Clinical Trials Using ClinicalTrials.gov,Identifying Core Outcome Sets in COVID-19 Clinical Trials Using ClinicalTrials.gov.
p7d0zxxt,6b1x83dp,1.0,The Case for Transparency in the Ophthalmology Residency Match.,The Case for Transparency in the Ophthalmology Residency Match
byvcjg1a,hj4yimhw,1.0,A systematic study of critical miRNAs on cells proliferation and apoptosis by the shortest path.,A systematic study of critical miRNAs on cells proliferation and apoptosis by the shortest path
xrbljypm,g32i65x0,1.0,Familial writer's cramp: a clinical clue for inherited coenzyme Q10 deficiency.,Familial writer's cramp: a clinical clue for inherited coenzyme Q10 deficiency
47pjupjq,z5m6g0cx,1.0,Toilet hygiene-review and research needs,Toilet Hygiene - Review and Research Needs
wx8smf0a,bfh475m1,1.0,Anxiety and Post-Traumatic Stress Disorder Symptoms in Pregnant Women during the COVID-19 Pandemic's Delay Phase,Anxiety and Post-Traumatic Stress Disorder Symptoms in Pregnant Women during the COVID-19 Pandemic's Delay Phase.
3vkeu13y,5am3pdx6,1.0,Live Tweeting the Discovery of a New Coronavirus Disease 2019-Related Syndrome in Children,Live Tweeting the Discovery of a New Coronavirus Disease 2019–Related Syndrome in Children
g4o3forj,0nkie35g,1.0,Neuroendovascular clinical trials disruptions due to COVID-19 potential future challenges and opportunities,Neuroendovascular clinical trials disruptions due to COVID-19. Potential future challenges and opportunities
ogkue0fo,cktoxs4u,1.0,"Patient in hospital for over a year must leave for community care, says judge.","Patient in hospital for over a year must leave for community care, says judge"
v82edpo5,ttn12rrp,1.0,Reply to Sanfilippo et al. and to Caviedes et al.,Reply to: Sanfilippo et al Caviedes et al
sz1psxsf,l0ydzofw,1.0,Omicron Blindspots: Why It's Hard to Track Coronavirus Variants,Omicron blindspots: why it's hard to track coronavirus variants.
octw5hc3,jzpfz3l0,1.0,Pityriasis rosea‐like eruption after Pfizer–BioNTech COVID‐19 vaccination,Pityriasis rosea-like eruption after Pfizer-BioNTech COVID-19 vaccination
5wlilryj,j9yna0rz,1.0,Covid-19: Nightingale hospitals set to shut down after seeing few patients.,Covid-19: Nightingale hospitals set to shut down after seeing few patients
0tm22djt,cafny3al,1.0,Vaccination against COVID‐19 in Africa,Vaccination against COVID-19 in Africa
o4lzk3jd,47elt4ay,1.0,Subject index for volume 176,Subject index for volume 166
nf6kd1iq,m6f238hi,1.0,A case-based learning approach to online biochemistry labs during COVID-19,A case‐based learning approach to online biochemistry labs during COVID‐19
uvryrx2r,xldhuprd,1.0,"The association between ethnicity, socioeconomic deprivation and receipt of hospital-based palliative care for people with Covid-19: A dual centre service evaluation.","The association between ethnicity, socioeconomic deprivation and receipt of hospital-based palliative care for people with Covid-19: A dual centre service evaluation"
4n00uqxq,v3by0yru,1.0,Relevance of Bhagavad Gita for healthcare workers amidst the COVID -19 crisis,Relevance of Bhagavad Gita for healthcare workers amidst the COVID -19 crisis.
6e07m29x,al1yl2uf,1.0,Comparison of Mid-Turbinate and Nasopharyngeal Specimens for Molecular Detection of SARS-CoV-2 Among Symptomatic Outpatients at a Pediatric Drive-Through Testing Site.,Comparison of Mid-Turbinate and Nasopharyngeal Specimens for Molecular Detection of SARS-CoV-2 Among Symptomatic Outpatients at a Pediatric Drive-Through Testing Site
qzb4ptcd,p6nlg34u,1.0,Use of Factory-Calibrated Real-time Continuous Glucose Monitoring Improves Time in Target and HbA1c in a Multiethnic Cohort of Adolescents and Young Adults With Type 1 Diabetes: The MILLENNIAL Study,Use of Factory-Calibrated Real-time Continuous Glucose Monitoring Improves Time in Target and HbA1c in a Multiethnic Cohort of Adolescents and Young Adults With Type 1 Diabetes: The MILLENNIAL Study.
