cord_uid_a,cord_uid_b,similarity,title_a,title_b
ej5ii28v,0lmerywo,-0.05423202,Eine Monsterpille zur Prophylaxe bei Herzgesunden,Comorbidities and sociodemographic factors on COVID-19 fatalities
0lmerywo,e69c9wyw,-0.044885393,Comorbidities and sociodemographic factors on COVID-19 fatalities,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
0jesl60e,ej5ii28v,-0.03946983,Should we screen patients with hematologic malignancies for COVID-19?,Eine Monsterpille zur Prophylaxe bei Herzgesunden
e1ztoqwd,ej5ii28v,-0.035292372,Infectious Agents as Potential Drivers of α-Synucleinopathies.,Eine Monsterpille zur Prophylaxe bei Herzgesunden
bgf5c3o3,cvj18uuh,-0.030356035,Das geht jeden Dermatologen an,Family perspectives of COVID-19 research
vkvk357y,y3rmmgb7,-0.029933995,Chapter 3 - Clinical features of COVID-19,Covid‑19 – was wir sicher wissen
in00rzqe,34am9w8r,-0.027067596,Nachhaltiges Wachstum: Braucht Deutschland ein Investitionsprogramm?,Hematological findings and complications of COVID-19
in00rzqe,m0gro0sv,-0.02319892,Nachhaltiges Wachstum: Braucht Deutschland ein Investitionsprogramm?,Reflections on rheumatological aspects of COVID-19
e1ztoqwd,gmpkib3r,-0.022512523,Infectious Agents as Potential Drivers of α-Synucleinopathies.,Weitere Metaanalyse zu chinesischer Arzneitherapie bei COVID-19
0lmerywo,pgt1ivd8,-0.02189005,Comorbidities and sociodemographic factors on COVID-19 fatalities,Pflegepraxis durch Pflegewissenschaft in Zeiten von COVID-19 sichtbar machen
in00rzqe,3oe65cap,-0.020872775,Nachhaltiges Wachstum: Braucht Deutschland ein Investitionsprogramm?,Serological characteristics of COVID-19 patients
47i1k1dv,y3rmmgb7,-0.02003678,Selected highlights from other journals.,Covid‑19 – was wir sicher wissen
47i1k1dv,in00rzqe,-0.019592026,Selected highlights from other journals.,Nachhaltiges Wachstum: Braucht Deutschland ein Investitionsprogramm?
in00rzqe,0lmerywo,-0.019542405,Nachhaltiges Wachstum: Braucht Deutschland ein Investitionsprogramm?,Comorbidities and sociodemographic factors on COVID-19 fatalities
bgf5c3o3,8s23mnoe,-0.01912951,Das geht jeden Dermatologen an,Clinical implications of telemedicine for providers and patients
0lmerywo,gmpkib3r,-0.018840697,Comorbidities and sociodemographic factors on COVID-19 fatalities,Weitere Metaanalyse zu chinesischer Arzneitherapie bei COVID-19
vkvk357y,q06bove4,-0.018663527,Chapter 3 - Clinical features of COVID-19,COVID-19: Was wir wissen können
8s23mnoe,in00rzqe,-0.017930087,Clinical implications of telemedicine for providers and patients,Nachhaltiges Wachstum: Braucht Deutschland ein Investitionsprogramm?
