cord_uid_a,cord_uid_b,similarity,title_a,title_b
y0red6y3,l0xqbdck,1.0,The rapid diagnosis and effective inhibition of coronavirus using spike antibody attached gold nanoparticles,The rapid diagnosis and effective inhibition of coronavirus using spike antibody attached gold nanoparticles
jkc9t799,ablp9jh8,1.0,"Repurposing Pyramax®, quinacrine and tilorone as treatments for Ebola virus disease","Repurposing Pyramax®, Quinacrine and Tilorone as Treatments for Ebola Virus Disease"
maaftb70,fgqxtmab,1.0,"Usefulness of the neutrophil-to-lymphocyte, monocyte-to-lymphocyte and lymphocyte-to-platelet ratios for the prognosis of COVID-19-associated complications.","Usefulness of the neutrophil-to-lymphocyte, monocyte-to-lymphocyte and lymphocyte-to-platelet ratios for the prognosis of COVID-19-associated complications"
0xvbqt71,3mcoyx4m,1.0,Machine learning-based cytokine microarray digital immunoassay analysis,Machine learning-based cytokine microarray digital immunoassay analysis
2axl6p97,hes8jego,1.0,Comparing patient experience between telemedicine and traditional urology visits during the COVID-19 pandemic,P0984 Comparing patient experience between telemedicine and traditional urology visits during the COVID-19 pandemic
82daolio,nskq6j58,1.0,A STING in the tail for SARS-CoV-2,A STING in the tail for SARS-CoV-2
3cif027s,fe326w19,1.0,Dealing with distress from the COVID‐19 pandemic: Mental health stressors and coping strategies in vulnerable latinx communities,Dealing with distress from the COVID-19 pandemic: Mental health stressors and coping strategies in vulnerable latinx communities
ecnefr42,fywi622f,1.0,Initiation of a survey of healthcare worker distress and moral injury at the onset of the COVID‐19 surge,Initiation of a survey of healthcare worker distress and moral injury at the onset of the COVID-19 surge
9zlvakqj,nvkhcyky,1.0,How does Covid-19 infection affect smell?,How does Covid-19 infection affect smell?
twqukv72,fssh3e70,1.0,Sexual violence in older adults: a Belgian prevalence study,Sexual violence in older adults: a Belgian prevalence study
ugvpfhgb,7k0j8aml,1.0,The influence of classroom seating arrangement on children’s cognitive processes in primary school: the role of individual variables,The influence of classroom seating arrangement on children’s cognitive processes in primary school: The role of individual variables
fhl29mkx,z6balscd,1.0,Home dialysis machine use for emergency dialysis during the COVID-19 pandemic,Home dialysis machine use for emergency dialysis during the COVID-19 pandemic
yqgpo7v9,n3ihva0d,1.0,A novel framework to quantify uncertainty in peptide-tandem mass spectrum matches with application to nanobody peptide identification,A novel framework to quantify uncertainty in peptide-tandem mass spectrum matches with application to nanobody peptide identification
0ztoy51b,wyvq0z91,1.0,[COVID-19 and gender: certainties and uncertainties in monitoring the pandemic.],[COVID-19 and gender: certainties and uncertainties in monitoring the pandemic.]
5ltcxzdb,1p71ezjv,1.0,Results of COVID-minimal Surgical Pathway During Surge-phase of COVID-19 Pandemic,Results of COVID-minimal Surgical Pathway During Surge-phase of COVID-19 Pandemic
ua12mg3f,2fiptd5d,1.0,Robotics utilization for healthcare digitization in global COVID-19 management,Robotics Utilization for Healthcare Digitization in Global COVID-19 Management
ghukdkap,5piyzc5u,1.0,Transfer learning-based convolutional neural network for COVID-19 detection with X-ray images,Transfer learning-based convolutional neural network for COVID-19 detection with X-ray images
3qm0tdpt,nd7dh4ly,1.0,Upregulation of ACE2 and TMPRSS2 by particulate matter and idiopathic pulmonary fibrosis: a potential role in severe COVID-19,Upregulation of ACE2 and TMPRSS2 by particulate matter and idiopathic pulmonary fibrosis: a potential role in severe COVID-19
urlmhsku,lt51jg1j,1.0,Subjective experience of time in dementia with Lewy bodies during COVID-19 lockdown,Subjective experience of time in dementia with Lewy bodies during COVID-19 lockdown
jmsl43cm,6gnmsigi,1.0,"How to make universal, voluntary testing for COVID-19 work? A behavioural economics perspective","How to make universal, voluntary testing for COVID-19 work? A behavioural economics perspective"
9mpq3x8d,e7yi3g9d,1.0,Lactate Kinetics Reflect Organ Dysfunction and Are Associated with Adverse Outcomes in Intensive Care Unit Patients with COVID-19 Pneumonia: Preliminary Results from a GREEK Single-Centre Study,Lactate Kinetics Reflect Organ Dysfunction and Are Associated with Adverse Outcomes in Intensive Care Unit Patients with COVID-19 Pneumonia: Preliminary Results from a GREEK Single-Centre Study
lcilh3w1,wzd4iu1g,1.0,Factors Associated with School Attendance Plans and Support for COVID-19 Risk Mitigation Measures Among Parents and Guardians,Factors Associated with School Attendance Plans and Support for COVID-19 Risk Mitigation Measures Among Parents and Guardians.
yxpv2jxb,0yscykyu,1.0,[First case of 2019 novel coronavirus infection in children in Shanghai].,First case of 2019 novel coronavirus infection in children in Shanghai
h90inxg1,m1pu29hs,1.0,P.841QTc changes in the management of SARS-CoV-2 infection in patents schizophrenia spectrum disorders,P.841QTc changes in the management of SARS-CoV-2 infection in patents schizophrenia spectrum disorders
ocy25jq8,vwon1jes,1.0,Cavernous artery intima-media thickness predicts the response to sildenafil in erectile dysfunction patients as a morphological parameter,Cavernous artery intima-media thickness predicts the response to sildenafil in erectile dysfunction patients as a morphological parameter.
m2fimwt2,1f6kz0b2,1.0,COVID-19 & obesity: Beyond BMI,Covid-19 & Obesity: Beyond Bmi
xr0mhw1o,ayb6d8mu,1.0,Day case partial breast reconstructions with chest wall perforator flaps before and during the COVID-19 pandemic.,Day case partial breast reconstructions with chest wall perforator flaps before and during the COVID-19 pandemic
9r0l2hys,sqem5jmn,1.0,The Expanding Role of the COX Inhibitor/Opioid Receptor Agonist Combination in the Management of Pain,The Expanding Role of the COX Inhibitor/Opioid Receptor Agonist Combination in the Management of Pain
v6gzt8p1,369s7cq5,1.0,Semi-continuous Propagation of Influenza A Virus and Its Defective Interfering Particles: Analyzing the Dynamic Competition To Select Candidates for Antiviral Therapy,Semi-continuous propagation of influenza A virus and its defective interfering particles: analyzing the dynamic competition to select candidates for antiviral therapy
phcpoee5,egd17lr0,1.0,The rapid transformation of cardiac surgery practice in the coronavirus disease 2019 (COVID-19) pandemic: Insights and clinical strategies from a center at the epicenter,The Rapid Transformation of Cardiac Surgery Practice in the Coronavirus Disease 2019 (COVID-19) Pandemic: Insights and Clinical Strategies From a Center at the Epicenter
