cord_uid_a,cord_uid_b,similarity,title_a,title_b
6z7qj9vo,gsonpunw,-0.14753692,HEARTS of athletes.,Campylobacteriose — eine zoonotische Infektionskrankheit
mherdb4v,gsonpunw,-0.14199042,Lessons for and from COVID‐19 for investors and their advisors,Campylobacteriose — eine zoonotische Infektionskrankheit
kknfl496,0xcxvdf3,-0.14018719,Thrombocytopathy and endotheliopathy: crucial contributors to COVID-19 thromboinflammation,An EUA for Casirivimab and Imdevimab for COVID-19
0xcxvdf3,15ptp8km,-0.14018719,An EUA for Casirivimab and Imdevimab for COVID-19,Thrombocytopathy and endotheliopathy: crucial contributors to COVID-19 thromboinflammation
3d56os6r,xey488es,-0.13985088,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e. V.,Lessons from being challenged by COVID-19
mxpdmrfu,c1qdw17z,-0.13418765,Digitalisierung - jetzt,Radiological Findings in Patients with COVID-19
mxpdmrfu,i6vetquk,-0.1332686,Digitalisierung - jetzt,The pathogens
vur1c2nf,mxpdmrfu,-0.13070264,Communicating With Patients and Families During COVID-19,Digitalisierung - jetzt
3d56os6r,oquhgthb,-0.12850936,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e. V.,Choices.
mdd60ic7,gsonpunw,-0.12614954,Acknowledgement to Referees,Campylobacteriose — eine zoonotische Infektionskrankheit
nfzoanb9,gsonpunw,-0.12614954,Acknowledgement to Referees,Campylobacteriose — eine zoonotische Infektionskrankheit
gsonpunw,qgrecd29,-0.12614954,Campylobacteriose — eine zoonotische Infektionskrankheit,Acknowledgement to Referees
vur1c2nf,gsonpunw,-0.12524396,Communicating With Patients and Families During COVID-19,Campylobacteriose — eine zoonotische Infektionskrankheit
wg1wjr1s,mxpdmrfu,-0.12266038,Clinical features of 17 patients with 2019-nCoV.,Digitalisierung - jetzt
mxpdmrfu,n1tysdom,-0.12238379,Digitalisierung - jetzt,Comparison of Laboratory Parameters in Patients with COVID-19
vur1c2nf,zu4tikpu,-0.12169599,Communicating With Patients and Families During COVID-19,Exkursion in eine postagile Zukunft
izlpz4qn,mxpdmrfu,-0.12113314,Risk Factors for Mortality of COVID-19 Patients,Digitalisierung - jetzt
w2v6f0ks,mxpdmrfu,-0.1207812,Clinical Studies - Outcomes,Digitalisierung - jetzt
mxpdmrfu,qqg2yy73,-0.12046508,Digitalisierung - jetzt,Clinical characteristics of 11 asymptomatic patients with COVID-19
mherdb4v,zu4tikpu,-0.119811416,Lessons for and from COVID‐19 for investors and their advisors,Exkursion in eine postagile Zukunft
dhsniglo,nno1jdc4,-0.119499564,People + Companies,Multiorganinfektionen — komplexe klinisch-infektiologische Krankheiten
nno1jdc4,9bdiz5pz,-0.119499564,Multiorganinfektionen — komplexe klinisch-infektiologische Krankheiten,People + Companies
nno1jdc4,wm7yrtrw,-0.119499564,Multiorganinfektionen — komplexe klinisch-infektiologische Krankheiten,People + Companies
nno1jdc4,6uvm25og,-0.119499564,Multiorganinfektionen — komplexe klinisch-infektiologische Krankheiten,People + Companies
dhsniglo,gsonpunw,-0.119272694,People + Companies,Campylobacteriose — eine zoonotische Infektionskrankheit
9bdiz5pz,gsonpunw,-0.119272694,People + Companies,Campylobacteriose — eine zoonotische Infektionskrankheit
gsonpunw,wm7yrtrw,-0.119272694,Campylobacteriose — eine zoonotische Infektionskrankheit,People + Companies
gsonpunw,6uvm25og,-0.119272694,Campylobacteriose — eine zoonotische Infektionskrankheit,People + Companies
22i9ci72,mxpdmrfu,-0.11736773,Appendices,Digitalisierung - jetzt
hcjpj03p,i6vetquk,-0.11698928,Leitlinien zu COVID-19,The pathogens
