cord_uid_a,cord_uid_b,similarity,title_a,title_b
zmtltqmb,wxahh3u8,1.0,Mitteilungen der DGPPN 9/2020,Grundbegriffe der Immunologie
mnck75xi,w9sbhztb,1.0,[Vulnerabilidad cardiovascular en adultos mayores con COVID-19: conociendo los mecanismos biológicos],[Vulnerabilidad cardiovascular en adultos mayores con COVID-19: conociendo los mecanismos biológicos].
l8yza713,5lf6pozi,1.0,"Fedratinib, a newly approved treatment for patients with myeloproliferative neoplasm-associated myelofibrosis.","Fedratinib, a newly approved treatment for patients with myeloproliferative neoplasm-associated myelofibrosis"
jkc9t799,ablp9jh8,1.0,"Repurposing Pyramax®, quinacrine and tilorone as treatments for Ebola virus disease","Repurposing Pyramax®, Quinacrine and Tilorone as Treatments for Ebola Virus Disease"
wxahh3u8,ite2o1dh,1.0,Grundbegriffe der Immunologie,Pathophysiologie der Leberkrankheiten
6dmn3kpy,6zzk28fi,1.0,Ondansetron use is associated with lower COVID-19 mortality in a Real-World Data network-based analysis,Ondansetron use is associated with lower COVID-19 mortality in a Real-World Data network-based analysis
4jvg5emr,2cb4gs52,1.0,"July 6–12, 2013","July 13–19, 2013"
otopem7y,xy4f5kon,1.0,3D printing of face shields to meet the immediate need for PPE in an anesthesiology department during the COVID-19 pandemic,3D Printing of Face Shields to Meet the Immediate Need for PPE in an Anesthesiology Department during the COVID-19 Pandemic
zmtltqmb,ite2o1dh,1.0,Mitteilungen der DGPPN 9/2020,Pathophysiologie der Leberkrankheiten
zmtltqmb,mqccs193,1.0,Mitteilungen der DGPPN 9/2020,Mitteilungen der DGIIN
zmtltqmb,77xls33y,1.0,Mitteilungen der DGPPN 9/2020,Mitteilungen der DGIM
tlxwvh5f,2jxeq1w8,1.0,CFA 2021 : promenons-nous sur le web tant que la Covid est là,CFA 2021 : promenons-nous sur le web tant que la Covid est là
h1608iyz,i1noqgll,1.0,Systematic Delineation of Media Polarity on COVID-19 Vaccines in Africa: Computational Linguistic Modeling Study,Systematic Delineation of Media Polarity on COVID-19 Vaccines in Africa: Computational Linguistic Modeling Study
rxfg777r,76dhmrud,1.0,"Anti-inflammatory, antioxidant and renoprotective effects of SOCS1 mimetic peptide in the BTBR ob/ob mouse model of type 2 diabetes","Anti-inflammatory, antioxidant and renoprotective effects of SOCS1 mimetic peptide in the BTBR ob/ob mouse model of type 2 diabetes."
wxahh3u8,mqccs193,1.0,Grundbegriffe der Immunologie,Mitteilungen der DGIIN
wxahh3u8,77xls33y,1.0,Grundbegriffe der Immunologie,Mitteilungen der DGIM
um3517lk,c8b2m858,1.0,Case Report Thiaminsubstitution,Elasomeran: Perimyocarditis: case report
rh4qjd0a,kx9j8vx0,1.0,"Pandemic, Economic Uncertainty, and Protests: What Will Happen to Student Registered Nurse Anesthetists--Resiliency or Burnout?","Pandemic, Economic Uncertainty, and Protests: What Will Happen to Student Registered Nurse Anesthetists--Resiliency or Burnout?"
kbfqybu2,5m6sqwq8,1.0,COVID-19 Creating another problem? Sustainable solution for PPE disposal through LCA approach,COVID-19 Creating another problem? Sustainable solution for PPE disposal through LCA approach
wxahh3u8,vqbi420w,1.0,Grundbegriffe der Immunologie,Mitteilungen der ÖGKJ
zmtltqmb,vqbi420w,1.0,Mitteilungen der DGPPN 9/2020,Mitteilungen der ÖGKJ
g1sq43rw,dhlthsi1,1.0,Treatment of COVID-19-related olfactory disorder promoted by Kakkontokasenkyushin'i: a case series,Treatment of COVID-19-Related Olfactory Disorder Promoted by Kakkontokasenkyushin'i: A Case Series.
en65prj9,iu8n6fwf,1.0,The challenge of producing an EQA for the COVID-19 pandemic,The challenge of producing an EQA for the COVID-19 pandemic
ad8g9j2d,baei4pve,1.0,Community pharmacy response to infection control during COVID-19. A cross-sectional survey,Community pharmacy response to infection control during COVID-19. A cross-sectional survey
d1xfghew,th80oiuu,1.0,"Authors' Reply to: Tocilizumab, Adipokines and Severe Complications of COVID-19","Authors’ Reply to: Tocilizumab, Adipokines and Severe Complications of COVID-19"
t4oalugv,ioybnl1b,1.0,Telemedicine technology and implications for reproductive office operations,Telemedicine technology and implications for reproductive office operations.
rs4wtcty,mlzln6tq,1.0,CORRIGENDUM,Corrigendum.
wxahh3u8,gk9nlapf,1.0,Grundbegriffe der Immunologie,Mitteilungen der DGIIN
zmtltqmb,gk9nlapf,1.0,Mitteilungen der DGPPN 9/2020,Mitteilungen der DGIIN
b1v822ed,xtwl2if8,1.0,Antimicrobial stewardship in Northern Ireland during COVID-19,Antimicrobial stewardship in Northern Ireland during COVID‐19
zmtltqmb,hywu3lsp,1.0,Mitteilungen der DGPPN 9/2020,Klinischer Ultraschall in der Nephrologie
wxahh3u8,hywu3lsp,1.0,Grundbegriffe der Immunologie,Klinischer Ultraschall in der Nephrologie
