cord_uid_a,cord_uid_b,similarity,title_a,title_b
84yq3oyz,fnhqcpru,-0.16612639,COVID-19: No Visitors.,COVID-19 – (k)eine Zumutung?!
ujsb6ebp,fnhqcpru,-0.14753692,Hearts of Athletes,COVID-19 – (k)eine Zumutung?!
e97bazt5,fnhqcpru,-0.14236,"Covid, Colleges, and Classes",COVID-19 – (k)eine Zumutung?!
eej8qb9t,fnhqcpru,-0.12614954,Acknowledgement to Referees.,COVID-19 – (k)eine Zumutung?!
gk6xm71j,fnhqcpru,-0.12250512,COVID-19 Claims Lives of Artists,COVID-19 – (k)eine Zumutung?!
z5s3mwnk,fnhqcpru,-0.11892875,Vaccines for travelers.,COVID-19 – (k)eine Zumutung?!
qvay40pd,gdqv1q45,-0.11371739,All People.,Komplexe Gerinnungsstörungen
q8wjcvxx,fnhqcpru,-0.11308698,From editors,COVID-19 – (k)eine Zumutung?!
wwie0iem,jvvzu4aj,-0.11292844,Allergikern Ängste nehmen,Concluding Reflections
s86t1am9,fnhqcpru,-0.111189604,Courses and Conferences.,COVID-19 – (k)eine Zumutung?!
92ivie3y,fnhqcpru,-0.110380724,Our Responsibility to All of Our Patients and Families,COVID-19 – (k)eine Zumutung?!
563ftqw3,4s2t1jzq,-0.109126456,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,"COVID-19, a lesson to be learned from"
qenoivq9,fnhqcpru,-0.10757867,Infections in Travelers,COVID-19 – (k)eine Zumutung?!
zen3876u,8f2e9fxq,-0.10734274,"COVID-19, Naturally.",Onze hersenen: onze achtbaan
wwie0iem,4p6wbd0h,-0.10385105,Allergikern Ängste nehmen,Screening figures
563ftqw3,asqisbn2,-0.10336762,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,"Book Review: Judgment, Decision-Making, and Embodied Choices"
563ftqw3,wt1npgpc,-0.1030393,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Exceptional matters
7hiqld8n,fnhqcpru,-0.10216969,Digestional diseases in Covid-19 in children,COVID-19 – (k)eine Zumutung?!
563ftqw3,cg8k7poz,-0.10207382,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Beyond This Book
w5pwoo15,fnhqcpru,-0.10007848,From the pages of AllergyWatch®,COVID-19 – (k)eine Zumutung?!
taylx8ax,fnhqcpru,-0.099942215,ESICM LIVES 2020,COVID-19 – (k)eine Zumutung?!
sw66w64t,fnhqcpru,-0.098771445,Bats and COVID-19: villains or victims?,COVID-19 – (k)eine Zumutung?!
563ftqw3,caj01hf7,-0.09772008,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,27144 Patient expectations and willingness with teledermatology
jvvzu4aj,xmb4eywi,-0.09751562,Concluding Reflections,"Strategieentwicklung ""einfach"" machen"
5pp8qvx0,fnhqcpru,-0.097487606,From the editors: research in times of COVID,COVID-19 – (k)eine Zumutung?!
563ftqw3,8y6y9yxm,-0.0970303,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Professionalism: COVID-19 made me do it!
t8vb3vii,fnhqcpru,-0.096152805,Complications in Patients With COVID-19,COVID-19 – (k)eine Zumutung?!
563ftqw3,agrj7vff,-0.09539847,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Managing patient expectations
563ftqw3,x2bfrpo8,-0.093783155,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,COVID-19 Guidelines for Assisted Living Facilities: Lessons Learned.
70ikknhe,fnhqcpru,-0.093702905,Guest Editors,COVID-19 – (k)eine Zumutung?!
563ftqw3,43x0owa9,-0.09366242,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,What matters to you? Embracing shared decision making in ophthalmology
gdqv1q45,84yq3oyz,-0.09361972,Komplexe Gerinnungsstörungen,COVID-19: No Visitors.
563ftqw3,65pc7297,-0.09355383,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Communicating with children about COVID-19
uxn7jopb,fnhqcpru,-0.09315592,Men's feelings and emotions in the Covid-19 framing,COVID-19 – (k)eine Zumutung?!
563ftqw3,kqvgsbek,-0.09258337,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Choosing our narrative wisely.
ptxwnbhf,fnhqcpru,-0.09151502,Investigating people's anxieties and concerns about COVID-19,COVID-19 – (k)eine Zumutung?!
563ftqw3,m5mo9kfs,-0.091401525,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,COVID-19: Lost opportunities and lessons for the future.
ye7fqh6a,00ec5g3a,-0.09124632,Jetzt anmelden!,Risk Factors for COVID-19
1w677dta,eej8qb9t,-0.089853525,Bundesweites Belastungsmodell für Intensivstationen durch COVID-19,Acknowledgement to Referees.
563ftqw3,22e3bo97,-0.08926054,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Forecasting Principles from Experience with Forecasting Competitions
84yq3oyz,d6su39tw,-0.08923921,COVID-19: No Visitors.,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion
563ftqw3,08gj3z7o,-0.08907205,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Our vcreate experience
563ftqw3,jt405bba,-0.0889913,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Shared Decision Making during the COVID-19 Pandemic.
d6su39tw,eej8qb9t,-0.08812143,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Acknowledgement to Referees.
563ftqw3,yp2le1bc,-0.08799569,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Making allowances for COVID-19
563ftqw3,gf5o0tge,-0.08765309,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Living with covid-19.
563ftqw3,otbj86xd,-0.0872661,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Lessons Learned: Teaching In-Person During the COVID-19 Pandemic
563ftqw3,jkhcekzc,-0.08715312,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,COVID-19 Contingency Plans: The Impact on Students' Future Choices
wuyuff46,fnhqcpru,-0.08708418,"“I'm a Referee, Not a Female Referee”: The Experiences of Women Involved in Football as Coaches and Referees",COVID-19 – (k)eine Zumutung?!
qvay40pd,fnhqcpru,-0.087054536,All People.,COVID-19 – (k)eine Zumutung?!
8k3nkkol,fnhqcpru,-0.08697324,Scientists' lanes and headwinds,COVID-19 – (k)eine Zumutung?!
4p6wbd0h,xmb4eywi,-0.08677784,Screening figures,"Strategieentwicklung ""einfach"" machen"
563ftqw3,skkhy6cw,-0.08674135,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Teledermatology During the COVID-19 Pandemic: Lessons Learned and Future Directions
563ftqw3,zzv26tok,-0.08642384,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,The Whiplash of a COVID-19 Teaching Pivot and the Lessons Learned for the Future
wwie0iem,eej8qb9t,-0.086277716,Allergikern Ängste nehmen,Acknowledgement to Referees.
p722u4s5,fnhqcpru,-0.08614226,"Antibodies: Friends, Foes, or Both? Lessons From COVID-19 for the Rheumatologist.",COVID-19 – (k)eine Zumutung?!
06qmcdse,fnhqcpru,-0.08557819,"[Prisoners, caregivers and volunteers faced with COVID-19].",COVID-19 – (k)eine Zumutung?!
563ftqw3,x4r8dcz8,-0.08554293,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Future Challenges
o0okucwu,fnhqcpru,-0.08486947,Should Institutions Disclose the Names of Employees with Covid‐19?,COVID-19 – (k)eine Zumutung?!
ye7fqh6a,mjeugi0q,-0.0841258,Jetzt anmelden!,EMarket for Local Farmers
563ftqw3,6g4n2320,-0.08409884,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,The Impact of COVID-19 on Trainees: Lessons Learned and Unanticipated Opportunities
563ftqw3,uf9llz1p,-0.08348685,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Geriatric rehabilitation during COVID-19: a lesson learned
wwie0iem,j710m8je,-0.08320302,Allergikern Ängste nehmen,Floriculture and Covid-19
qvemq0r4,xmb4eywi,-0.08308749,NOTICES OF RECENT PUBLICATIONS,"Strategieentwicklung ""einfach"" machen"
563ftqw3,ktg7lch8,-0.082498476,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Lessons learned: the long view
563ftqw3,csy5fekx,-0.082409196,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Living in a Covid‐19 World
wwie0iem,96d5unge,-0.08224719,Allergikern Ängste nehmen,The Circle
84yq3oyz,uocadc35,-0.082205944,COVID-19: No Visitors.,Gedanken zur Differentialdiagnostik*
563ftqw3,n3wab1qv,-0.082185455,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Fairness and Protection for the Vulnerable: Lessons from Esketamine
563ftqw3,hdg2yxmp,-0.08203746,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,COVID‐19 vaccination challenge: history lessons from a dermatologist’s perspective
563ftqw3,d8v6p6td,-0.081882186,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,2021 AMSSM Case Podium Presentations
563ftqw3,f4eglmef,-0.081882186,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,2021 AMSSM Case Podium Presentations.
563ftqw3,mgtxchud,-0.081764445,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,COVID-19—Lessons Learned and Questions Remaining
563ftqw3,c5vzbed3,-0.08174376,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Leadership matters
563ftqw3,9peb7bwv,-0.08169337,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,"GeoSentinel: past, present and future"
84yq3oyz,b3grnj7r,-0.081522875,COVID-19: No Visitors.,"""Ein guter Vertriebler braucht Gespür für das Machbare"""
563ftqw3,q6gp3ayd,-0.08095907,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,A challenging year
65pc7297,fnhqcpru,-0.08080835,Communicating with children about COVID-19,COVID-19 – (k)eine Zumutung?!
ye7fqh6a,jvvzu4aj,-0.08080706,Jetzt anmelden!,Concluding Reflections
563ftqw3,5v8jrpw9,-0.08074984,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Could COVID-19 Offer Lessons on Back Care in the Future?
563ftqw3,kdfg0glv,-0.080437906,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Books reviewed
z6pchusp,fnhqcpru,-0.08030446,Clinical features of covid-19 in children,COVID-19 – (k)eine Zumutung?!
563ftqw3,5o7m935w,-0.08011702,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Confronting the reality of COVID.
2hnrmkxa,fnhqcpru,-0.07981683,NATIONAL SPEAKERS.,COVID-19 – (k)eine Zumutung?!
wwie0iem,ej2zhlin,-0.07976977,Allergikern Ängste nehmen,Introductory Chapter
563ftqw3,w7tbegc7,-0.07971392,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,2019-nCoV: Polite with children!
9t7huohi,fnhqcpru,-0.07969476,Polymorbidity in seniors hospitalized for COVID-19,COVID-19 – (k)eine Zumutung?!
e1txv74n,fnhqcpru,-0.07969051,A Safety Network for Patients in Times of COVID-19,COVID-19 – (k)eine Zumutung?!
563ftqw3,z8pxlsf8,-0.07941093,hpO: Berufsvereinigung für heilkundlich praktizierte Osteopathie e.V.,Covid 19- An Orthodontists’ perspective
