cord_uid_a,cord_uid_b,similarity,title_a,title_b
zk4ju6ph,e09etye1,1.0,19F‐NMR‐based fragment screening for 14 different biologically active RNAs and 10 DNA and protein counter‐screens,19F-NMR-based fragment screening for 14 different biologically active RNAs and 10 DNA and protein counter-screens
73sdr92z,wzz6rl70,1.0,Nigeria media framing of coronavirus pandemic and audience response,Nigeria media framing of coronavirus pandemic and audience response.
89welm16,x03iemd9,1.0,PERTinent new insights into venous thromboembolism risk and management in hospitalized patients with COVID-19,PERTinent new insights into venous thromboembolism risk and management in hospitalized patients with COVID-19.
qy2hg3vy,6kemhsyu,1.0,COVID-19: Intensivmedizinische Aspekte und Langzeitfolgen,Mikrobiologische Schnelltests und molekularbiologische Analytik
zi4ujj1m,inlmw5vm,1.0,Computational design of ultrashort peptide inhibitors of the receptor-binding domain of the SARS-CoV-2 S protein.,Computational design of ultrashort peptide inhibitors of the receptor-binding domain of the SARS-CoV-2 S protein
6xbb3h40,cq58udu3,1.0,"Whole proteome screening and identification of potential epitopes of SARS-CoV-2 for vaccine design-an immunoinformatic, molecular docking and molecular dynamics simulation accelerated robust strategy.","Whole proteome screening and identification of potential epitopes of SARS-CoV-2 for vaccine design-an immunoinformatic, molecular docking and molecular dynamics simulation accelerated robust strategy"
1907yqtr,kd207bs2,1.0,"""Mask tinea"": tinea faciei possibly potentiated by prolonged mask usage during the COVID-19 pandemic.","""Mask tinea"": tinea faciei possibly potentiated by prolonged mask usage during the COVID-19 pandemic"
tesebwwz,a7wuq2g0,1.0,Mental health status of pregnant and breastfeeding women during the COVID-19 pandemic: A call for action,Mental health status of pregnant and breastfeeding women during the COVID-19 pandemic: A call for action.
jh1wjvpv,nziw0tqb,1.0,Tracking Sleep to Optimize Health.,Tracking Sleep to Optimize Health
k6ef33p2,v7cdm9b5,1.0,Ultrastructural Evidence for Direct Renal Infection with SARS-CoV-2.,Ultrastructural Evidence for Direct Renal Infection with SARS-CoV-2
iz8533uj,f160p6ar,1.0,Covid-19: Testing times for the government-but not for NHS staff,Covid-19: Testing times for the government-but not for NHS staff.
vy5lvq5m,lobvyzu5,1.0,Impact of COVID-19 on services for people with disabilities and chronic health conditions,Impact of COVID-19 on services for people with disabilities and chronic health conditions.
fslbsdmi,d8gi8y1z,1.0,Less surgical site infections in neurosurgery during COVID-19 times—one potential benefit of the pandemic?,Less surgical site infections in neurosurgery during COVID-19 times-one potential benefit of the pandemic?
cd1icpyz,l0q9to5b,1.0,"Cellulosic fabric treated with hyperbranched polyethyleneimine derivatives for improving antibacterial, dyeing, pH and thermo-responsive performance","Cellulosic fabric treated with hyperbranched polyethyleneimine derivatives for improving antibacterial, dyeing, pH and thermo-responsive performance."
pu2nflzs,x4gfnglb,1.0,Weathering Pandemic Turbulence: It's All about Relationships.,Weathering Pandemic Turbulence: It's All about Relationships
cnauko6h,3euql0qe,1.0,"Law, Religion, and the COVID Crisis","Law, Religion, and the COVID-19 Crisis"
34zcqazt,9u56ifje,1.0,A “double-hit” damage mechanism can explain self-limited GI bleeding in COVID-19 pneumonia,"A ""double-hit"" damage mechanism can explain self-limited GI bleeding in COVID-19 pneumonia"
qy2hg3vy,5a3qbdbx,1.0,COVID-19: Intensivmedizinische Aspekte und Langzeitfolgen,Soziologie in Neuseeland und in Argentinien
8q1jnkas,rv07aj6d,1.0,Pearls & Oy-sters: Bilateral globus pallidus lesions in a patient with COVID-19.,Pearls & Oy-sters: Bilateral globus pallidus lesions in a patient with COVID-19
ixt38vl8,dt48vlfc,1.0,The Black Lives Matter Movement: A Call to Action for Couple and Family Therapists.,The Black Lives Matter Movement: A Call to Action for Couple and Family Therapists
3puazm6n,os1tyhtt,1.0,A founder's story: John Caffey.,A founder's story: John Caffey
qy2hg3vy,dsmiy94l,1.0,COVID-19: Intensivmedizinische Aspekte und Langzeitfolgen,Künstliche Intelligenz für Lernende und Lehrende
js2o2h88,fxsotozg,1.0,Effect of COVID-19 Pandemic on Performance Measures in Acute Myocardial Infarction,Effect of COVID-19 Pandemic on Performance Measures in Acute Myocardial Infarction.
tn15h42t,3tm282qu,1.0,Whakarongorau Aotearoa: insight into the delivery of New Zealand's national telehealth services.,Whakarongorau Aotearoa: insight into the delivery of New Zealand's national telehealth services
qy2hg3vy,ei4agwf7,1.0,COVID-19: Intensivmedizinische Aspekte und Langzeitfolgen,Allergien und allergische Erkrankungen
s5d2rla9,59ya7lyu,1.0,"Covid-19: Prevalence has quadrupled in England since start of September, study shows.","Covid-19: Prevalence has quadrupled in England since start of September, study shows"
2t5hazcd,6cg9s1fg,1.0,Spectrochip for Covid-19 Pandemic,COVID-19 pandemic and dermatoethics
bcqgfdf5,t65lwsea,1.0,Nurse Leaders' Experiences and Learnings Navigating Through the Chaos of a Pandemic,Nurse Leaders' Experiences and Learnings Navigating Through the Chaos of a Pandemic.
rzas5vbe,8amuhd20,1.0,Predisposition or Protection? COVID-19 in a Patient on LVAD Support with HIV/AIDS,Predisposition or Protection?: COVID-19 in a Patient on LVAD Support With HIV/AIDS
qfm4tj4i,n0nsajwi,1.0,Nurse navigators' telemonitoring for cancer patients with COVID-19: a French case study,Nurse navigators’ telemonitoring for cancer patients with COVID-19: a French case study
ejxzqlon,iz3it0iz,1.0,"""Alexa, Can You Be My Family Medicine Doctor?"" The Future of Family Medicine in the Coming Techno-World","""Alexa, Can You Be My Family Medicine Doctor?"" The Future of Family Medicine in the Coming Techno-World."
7umee0h8,gjc43m4j,1.0,Mounting clues suggest the coronavirus might trigger diabetes,Mounting clues suggest the coronavirus might trigger diabetes.
g7l0uk6e,1yclr28p,1.0,Heparin-induced thrombocytopenia and thrombosis in a patient with Covid-19(),Heparin-induced thrombocytopenia and thrombosis in a patient with Covid-19
qy2hg3vy,9ix89mss,1.0,COVID-19: Intensivmedizinische Aspekte und Langzeitfolgen,Luftnot und Kauderwelsch
6zdzp6s1,v9qfkq4h,1.0,Telehealth monitoring for hypertrophic cardiomyopathy and amyloid cardiomyopathy patients: lessons from the coronavirus disease 2019 lockdown in Italy.,Telehealth monitoring for hypertrophic cardiomyopathy and amyloid cardiomyopathy patients: lessons from the coronavirus disease 2019 lockdown in Italy
xo8hfz39,m0188a9c,1.0,Quality and Safety Challenges in Inpatient Pediatric Care during the COVID-19 Pandemic: A National Qualitative Study,Quality and Safety Challenges in Inpatient Pediatric Care during the COVID‐19 Pandemic: A National Qualitative Study
ba809xsz,7yvreevj,1.0,"Every heartbeat counts: an interview with the Chief Executive of the British Heart Foundation, Dr Charmaine Griffiths.","Every heartbeat counts: an interview with the Chief Executive of the British Heart Foundation, Dr Charmaine Griffiths"
3vwb03wp,lmyu78e2,1.0,Impact of the COVID-19 pandemic on pediatricians' clinical activity in Cameroon,Impact of the COVID-19 pandemic on pediatricians’ clinical activity in Cameroon
sdnt55b4,chfwk5t8,1.0,Resurrection of Ancestral Malate Dehydrogenases Reveals the Evolutionary History of Halobacterial Proteins : Deciphering Gene Trajectories and Changes in Biochemical Properties,Resurrection of Ancestral Malate Dehydrogenases Reveals the Evolutionary History of Halobacterial Proteins : Deciphering Gene Trajectories and Changes in Biochemical Properties.
qy2hg3vy,g337mwj3,1.0,COVID-19: Intensivmedizinische Aspekte und Langzeitfolgen,"Videogestützte Autismustherapie: Implikation, Gestaltung und Wirksamkeit"
rhugpuva,zttu27xa,1.0,"Oogenesis in the tardigrade Hypsibius exemplaris Gasiorek, Stec, Morek & Michalczyk, 2018 (Eutardigrada, Hypsibiidae)","Oogenesis in the tardigrade Hypsibius exemplaris Gąsiorek, Stec, Morek & Michalczyk, 2018 (Eutardigrada, Hypsibiidae)."
5qp7vk0c,pzsezf32,1.0,Eliciting Disease Data from Wikipedia Articles,Eliciting Disease Data from Wikipedia Articles.
xbryarwy,gdcbgamw,1.0,"COVID-19 and spontaneous singing to decrease loneliness, improve cohesion, and mental well-being: An Italian experience","COVID-19 and spontaneous singing to decrease loneliness, improve cohesion, and mental well-being: An Italian experience."
6591nkx1,9baisu73,1.0,Reply to Nagappa and Marimuthu,In Reply to Guragai
qpzaehg0,gr6aukp1,1.0,Hepatic disorders with the use of remdesivir for coronavirus 2019 (COVID-19),Hepatic Disorders With the Use of Remdesivir for Coronavirus 2019
