cord_uid_a,cord_uid_b,similarity,title_a,title_b
zmtltqmb,wxahh3u8,1.0,Mitteilungen der DGPPN 9/2020,Grundbegriffe der Immunologie
mnck75xi,w9sbhztb,1.0,[Vulnerabilidad cardiovascular en adultos mayores con COVID-19: conociendo los mecanismos biológicos],[Vulnerabilidad cardiovascular en adultos mayores con COVID-19: conociendo los mecanismos biológicos].
zmtltqmb,ite2o1dh,1.0,Mitteilungen der DGPPN 9/2020,Pathophysiologie der Leberkrankheiten
4jvg5emr,2cb4gs52,1.0,"July 6–12, 2013","July 13–19, 2013"
l8yza713,5lf6pozi,1.0,"Fedratinib, a newly approved treatment for patients with myeloproliferative neoplasm-associated myelofibrosis.","Fedratinib, a newly approved treatment for patients with myeloproliferative neoplasm-associated myelofibrosis"
otopem7y,xy4f5kon,1.0,3D printing of face shields to meet the immediate need for PPE in an anesthesiology department during the COVID-19 pandemic,3D Printing of Face Shields to Meet the Immediate Need for PPE in an Anesthesiology Department during the COVID-19 Pandemic
jkc9t799,ablp9jh8,1.0,"Repurposing Pyramax®, quinacrine and tilorone as treatments for Ebola virus disease","Repurposing Pyramax®, Quinacrine and Tilorone as Treatments for Ebola Virus Disease"
6dmn3kpy,6zzk28fi,1.0,Ondansetron use is associated with lower COVID-19 mortality in a Real-World Data network-based analysis,Ondansetron use is associated with lower COVID-19 mortality in a Real-World Data network-based analysis
wxahh3u8,ite2o1dh,1.0,Grundbegriffe der Immunologie,Pathophysiologie der Leberkrankheiten
wxahh3u8,77xls33y,1.0,Grundbegriffe der Immunologie,Mitteilungen der DGIM
wxahh3u8,mqccs193,1.0,Grundbegriffe der Immunologie,Mitteilungen der DGIIN
um3517lk,c8b2m858,1.0,Case Report Thiaminsubstitution,Elasomeran: Perimyocarditis: case report
rxfg777r,76dhmrud,1.0,"Anti-inflammatory, antioxidant and renoprotective effects of SOCS1 mimetic peptide in the BTBR ob/ob mouse model of type 2 diabetes","Anti-inflammatory, antioxidant and renoprotective effects of SOCS1 mimetic peptide in the BTBR ob/ob mouse model of type 2 diabetes."
tlxwvh5f,2jxeq1w8,1.0,CFA 2021 : promenons-nous sur le web tant que la Covid est là,CFA 2021 : promenons-nous sur le web tant que la Covid est là
zmtltqmb,77xls33y,1.0,Mitteilungen der DGPPN 9/2020,Mitteilungen der DGIM
zmtltqmb,mqccs193,1.0,Mitteilungen der DGPPN 9/2020,Mitteilungen der DGIIN
h1608iyz,i1noqgll,1.0,Systematic Delineation of Media Polarity on COVID-19 Vaccines in Africa: Computational Linguistic Modeling Study,Systematic Delineation of Media Polarity on COVID-19 Vaccines in Africa: Computational Linguistic Modeling Study
rh4qjd0a,kx9j8vx0,1.0,"Pandemic, Economic Uncertainty, and Protests: What Will Happen to Student Registered Nurse Anesthetists--Resiliency or Burnout?","Pandemic, Economic Uncertainty, and Protests: What Will Happen to Student Registered Nurse Anesthetists--Resiliency or Burnout?"
kbfqybu2,5m6sqwq8,1.0,COVID-19 Creating another problem? Sustainable solution for PPE disposal through LCA approach,COVID-19 Creating another problem? Sustainable solution for PPE disposal through LCA approach
ad8g9j2d,baei4pve,1.0,Community pharmacy response to infection control during COVID-19. A cross-sectional survey,Community pharmacy response to infection control during COVID-19. A cross-sectional survey
