curva,valore,ripetizione,misura,secondi,errore,titoli,partizioni,worker,thread
worker,1,0,0,84.2,,100000,32,1,4
worker,1,0,1,85.65,,100000,32,1,4
worker,1,0,2,85.05,,100000,32,1,4
worker,1,0,3,85.66,,100000,32,1,4
worker,1,0,4,84.81,,100000,32,1,4
worker,1,0,5,85.35,,100000,32,1,4
worker,1,0,6,84.99,,100000,32,1,4
worker,1,0,7,84.84,,100000,32,1,4
worker,1,1,0,86.23,,100000,32,1,4
worker,1,1,1,88.1,,100000,32,1,4
worker,1,1,2,80.13,,100000,32,1,4
worker,1,1,3,88.77,,100000,32,1,4
worker,1,1,4,80.35,,100000,32,1,4
worker,1,1,5,82.14,,100000,32,1,4
worker,1,1,6,83.1,,100000,32,1,4
worker,1,1,7,83.88,,100000,32,1,4
worker,1,2,0,86.61,,100000,32,1,4
worker,1,2,1,86.07,,100000,32,1,4
worker,1,2,2,87.09,,100000,32,1,4
worker,1,2,3,88.09,,100000,32,1,4
worker,1,2,4,82.43,,100000,32,1,4
worker,1,2,5,84.26,,100000,32,1,4
worker,1,2,6,80.58,,100000,32,1,4
worker,1,2,7,80.07,,100000,32,1,4
worker,1,3,0,86.11,,100000,32,1,4
worker,1,3,1,82.98,,100000,32,1,4
worker,1,3,2,85.36,,100000,32,1,4
worker,1,3,3,82.29,,100000,32,1,4
worker,1,3,4,85.78,,100000,32,1,4
worker,1,3,5,85.28,,100000,32,1,4
worker,1,3,6,81.04,,100000,32,1,4
worker,1,3,7,86.81,,100000,32,1,4
worker,1,4,0,84.93,,100000,32,1,4
worker,1,4,1,84.27,,100000,32,1,4
worker,1,4,2,82.21,,100000,32,1,4
worker,1,4,3,78.74,,100000,32,1,4
worker,1,4,4,84.51,,100000,32,1,4
worker,1,4,5,90.39,,100000,32,1,4
worker,1,4,6,85.92,,100000,32,1,4
worker,1,4,7,83.4,,100000,32,1,4
