curva,valore,ripetizione,misura,secondi,errore,titoli,partizioni,worker,thread
worker,8,0,0,26.28,,100000,32,8,8
worker,8,0,1,25.82,,100000,32,8,8
worker,8,0,2,25.85,,100000,32,8,8
worker,8,1,0,25.77,,100000,32,8,8
worker,8,1,1,25.72,,100000,32,8,8
worker,8,1,2,25.45,,100000,32,8,8
worker,8,2,0,25.75,,100000,32,8,8
worker,8,2,1,25.85,,100000,32,8,8
worker,8,2,2,26.06,,100000,32,8,8
worker,8,3,0,26.2,,100000,32,8,8
worker,8,3,1,26.37,,100000,32,8,8
worker,8,3,2,25.84,,100000,32,8,8
worker,8,4,0,25.63,,100000,32,8,8
worker,8,4,1,25.37,,100000,32,8,8
worker,8,4,2,25.67,,100000,32,8,8
worker,8,5,0,25.92,,100000,32,8,8
worker,8,5,1,25.94,,100000,32,8,8
worker,8,5,2,25.81,,100000,32,8,8
