curva,valore,ripetizione,misura,secondi,errore,titoli,partizioni,worker,thread
partizioni,16,0,0,22.23,,100000,16,4,16
partizioni,16,0,1,22.11,,100000,16,4,16
partizioni,16,0,2,21.55,,100000,16,4,16
partizioni,32,0,0,20.36,,100000,32,4,16
partizioni,32,0,1,20.93,,100000,32,4,16
partizioni,32,0,2,21.27,,100000,32,4,16
partizioni,64,0,0,24.0,,100000,64,4,16
partizioni,64,0,1,22.82,,100000,64,4,16
partizioni,64,0,2,22.28,,100000,64,4,16
partizioni,128,0,0,39.08,,100000,128,4,16
partizioni,128,0,1,35.11,,100000,128,4,16
partizioni,128,0,2,35.21,,100000,128,4,16
partizioni,16,1,0,21.43,,100000,16,4,16
partizioni,16,1,1,21.48,,100000,16,4,16
partizioni,16,1,2,22.1,,100000,16,4,16
partizioni,32,1,0,20.62,,100000,32,4,16
partizioni,32,1,1,20.98,,100000,32,4,16
partizioni,32,1,2,20.8,,100000,32,4,16
partizioni,64,1,0,23.91,,100000,64,4,16
partizioni,64,1,1,22.54,,100000,64,4,16
partizioni,64,1,2,23.96,,100000,64,4,16
partizioni,128,1,0,39.03,,100000,128,4,16
partizioni,128,1,1,35.04,,100000,128,4,16
partizioni,128,1,2,34.16,,100000,128,4,16
