curva,valore,ripetizione,misura,secondi,errore,titoli,partizioni,worker,thread
worker,4,0,0,20.54,,100000,32,4,16
worker,4,0,1,20.76,,100000,32,4,16
worker,4,0,2,20.79,,100000,32,4,16
worker,3,0,0,26.82,,100000,32,3,12
worker,3,0,1,27.01,,100000,32,3,12
worker,3,0,2,27.56,,100000,32,3,12
worker,2,0,0,42.74,,100000,32,2,8
worker,2,0,1,45.45,,100000,32,2,8
worker,2,0,2,41.61,,100000,32,2,8
worker,1,0,0,76.85,,100000,32,1,4
worker,1,0,1,73.76,,100000,32,1,4
worker,1,0,2,80.67,,100000,32,1,4
worker,4,1,0,21.63,,100000,32,4,16
worker,4,1,1,22.5,,100000,32,4,16
worker,4,1,2,23.11,,100000,32,4,16
worker,3,1,0,28.53,,100000,32,3,12
worker,3,1,1,27.2,,100000,32,3,12
worker,3,1,2,28.74,,100000,32,3,12
worker,2,1,0,42.6,,100000,32,2,8
worker,2,1,1,41.53,,100000,32,2,8
worker,2,1,2,44.58,,100000,32,2,8
worker,1,1,0,73.65,,100000,32,1,4
worker,1,1,1,86.2,,100000,32,1,4
worker,1,1,2,89.28,,100000,32,1,4
worker,4,2,0,21.58,,100000,32,4,16
worker,4,2,1,21.02,,100000,32,4,16
worker,4,2,2,21.24,,100000,32,4,16
worker,3,2,0,29.5,,100000,32,3,12
worker,3,2,1,29.36,,100000,32,3,12
worker,3,2,2,30.78,,100000,32,3,12
worker,2,2,0,46.99,,100000,32,2,8
worker,2,2,1,44.69,,100000,32,2,8
worker,2,2,2,43.05,,100000,32,2,8
worker,1,2,0,75.5,,100000,32,1,4
worker,1,2,1,77.96,,100000,32,1,4
worker,1,2,2,75.02,,100000,32,1,4
worker,4,3,0,22.84,,100000,32,4,16
worker,4,3,1,22.64,,100000,32,4,16
worker,4,3,2,22.97,,100000,32,4,16
worker,3,3,0,30.43,,100000,32,3,12
worker,3,3,1,29.59,,100000,32,3,12
worker,3,3,2,30.51,,100000,32,3,12
worker,2,3,0,45.93,,100000,32,2,8
worker,2,3,1,46.7,,100000,32,2,8
worker,2,3,2,43.37,,100000,32,2,8
worker,1,3,0,84.23,,100000,32,1,4
worker,1,3,1,77.96,,100000,32,1,4
worker,1,3,2,71.4,,100000,32,1,4
worker,4,4,0,21.6,,100000,32,4,16
worker,4,4,1,21.66,,100000,32,4,16
worker,4,4,2,21.29,,100000,32,4,16
worker,3,4,0,28.62,,100000,32,3,12
worker,3,4,1,28.23,,100000,32,3,12
worker,3,4,2,28.75,,100000,32,3,12
worker,2,4,0,42.94,,100000,32,2,8
worker,2,4,1,43.36,,100000,32,2,8
worker,2,4,2,45.9,,100000,32,2,8
worker,1,4,0,78.44,,100000,32,1,4
worker,1,4,1,84.86,,100000,32,1,4
worker,1,4,2,79.66,,100000,32,1,4
worker,4,5,0,22.27,,100000,32,4,16
worker,4,5,1,21.67,,100000,32,4,16
worker,4,5,2,21.89,,100000,32,4,16
worker,3,5,0,31.54,,100000,32,3,12
worker,3,5,1,30.19,,100000,32,3,12
worker,3,5,2,28.61,,100000,32,3,12
worker,2,5,0,44.24,,100000,32,2,8
worker,2,5,1,46.36,,100000,32,2,8
worker,2,5,2,44.92,,100000,32,2,8
worker,1,5,0,76.0,,100000,32,1,4
worker,1,5,1,74.63,,100000,32,1,4
worker,1,5,2,81.32,,100000,32,1,4
